,12,11,10,9,8,7,6,5,4,3,2,1,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12
12,1,1,1,2,1,2,1,1,8,12,34,10,37,68,67,4,29,1,13,4,5,2,1,12
11,1,1,1,1,1,1,1,1,3,2,1,10,12,23,1,4,1,1,2,1,2,1,2,1
10,1,1,1,1,1,1,1,2,3,4,81,4,59,22,24,1,8,1,3,2,2,3,1,2
9,1,1,2,1,2,3,1,3,1,56,22,40,6,195,3,19,11,2,6,2,8,2,1,2
8,1,1,1,1,1,2,1,5,3,7,23,14,71,9,30,1,18,2,9,11,2,4,1,3
7,3,1,1,2,3,6,1,36,9,43,197,73,25,341,83,61,36,2,79,7,17,1,1,4
6,1,1,1,1,1,1,1,1,6,3,6,47,67,17,10,13,3,8,2,1,2,1,1,2
5,3,1,1,5,1,12,3,18,50,80,363,29,269,427,292,7,233,11,32,26,12,10,1,26
4,1,1,1,1,5,3,1,26,7,452,39,290,42,798,12,354,8,6,57,4,29,5,2,3
3,18,1,1,15,2,49,4,120,361,142,1244,106,557,229,1495,26,257,9,102,26,6,14,1,29
2,19,2,24,20,17,71,15,203,35,1009,1563,932,68,4684,326,470,592,22,285,7,124,16,5,56
1,6,7,6,11,2,26,10,29,141,39,754,185,1400,192,335,65,109,32,21,27,12,7,3,18
-1,5,2,11,1,33,8,23,74,6,257,63,1109,208,1750,30,385,52,4,30,4,15,15,9,7
-2,78,8,37,147,24,306,19,512,869,451,4433,75,1077,3054,1478,108,489,15,205,30,9,34,1,39
-3,51,4,57,10,36,193,69,335,33,1541,227,263,17,1302,38,216,94,3,43,1,66,4,1,8
-4,9,5,11,36,1,88,17,108,326,27,553,51,99,48,311,11,86,2,21,6,1,1,1,1
-5,46,2,31,37,35,121,17,265,69,384,529,65,13,282,69,64,22,1,28,2,2,2,1,3
-6,1,1,2,3,3,3,4,2,2,18,20,32,17,8,5,1,3,1,1,1,1,1,1,1
-7,27,20,13,50,11,82,2,86,119,176,201,14,20,62,16,3,14,2,1,1,1,2,1,2
-8,6,1,3,1,14,9,1,19,5,23,16,43,3,15,1,3,1,1,1,2,1,1,1,1
-9,9,3,14,29,4,18,3,30,37,9,124,5,11,2,7,1,3,1,1,1,1,1,1,1
-10,6,2,8,2,11,3,1,8,15,22,10,12,1,10,1,1,3,1,1,1,1,1,1,1
-11,2,1,1,1,1,3,1,1,7,1,4,1,2,1,2,2,1,1,1,1,1,1,1,1
-12,22,5,3,13,9,12,1,29,24,37,28,7,2,10,1,3,8,1,1,1,2,1,1,1
